Jugador,Seleccion,Posicion,Minutos,IVO_P90,Pases_P90,Conducciones_P90,Regates_P90,Tiros_P90,Presion_Pct
Jerome Ngom Mbekeli,Cameroon,MC,91,0.19,2.0,4.0,1.0,0.0,28.6
Jesper Lindstrøm,Denmark,ED,266,0.27,18.3,24.0,4.4,1.0,33.3
Jesus Ferreira,United States,DC,45,0.04,40.0,30.0,0.0,0.0,17.1
Jesús Daniel Gallardo Vasconcelos,Mexico,LI,287,0.3,43.3,26.0,0.6,0.3,14.7
Jewison Bennette,Costa Rica,ED,235,0.15,5.7,11.1,1.5,0.4,38.8
Jhegson Sebastián Méndez Carabalí,Ecuador,MCD,177,0.24,71.7,54.9,0.5,0.0,11.2
Jin-Su Kim,South Korea,LI,326,0.43,38.9,24.6,0.6,0.8,16.2
Joachim Andersen,Denmark,DFC,283,0.58,77.9,61.4,0.3,1.3,6.5
Joakim Mæhle,Denmark,LI,258,0.51,50.6,41.9,2.1,0.7,20.5
Joe Allen,Wales,MCD,177,0.09,18.3,11.7,0.0,1.0,29.5
Joe Rodon,Wales,DFC,274,0.14,53.2,41.4,0.0,0.0,8.0
Joel Nathaniel Campbell Samuels,Costa Rica,DC,284,0.34,43.4,42.5,4.1,0.3,38.6
Johan Alberto Venegas Ulloa,Costa Rica,DC,56,0.1,22.5,22.5,1.6,0.0,27.6
John Stones,England,DFC,446,0.52,90.8,76.9,0.2,0.8,9.6
Jonas Hofmann,Germany,ED,192,0.06,9.4,8.0,0.5,0.5,41.0
Jonathan David,Canada,DC,255,0.21,20.8,20.8,1.4,2.8,35.4
Jonathan Osorio,Canada,MCD,253,0.16,21.3,20.6,1.1,0.4,18.0
Jordan Ayew,Ghana,EI,213,0.3,18.6,17.7,3.0,0.4,35.1
Jordan Brian Henderson,England,MC,340,0.37,43.9,35.2,0.5,0.5,14.2
